Country,Code,ContinentCode,Year,Inflation: percent change in the Consumer Price Index,Exchange rate: local currency units per U.S. dollar,Unemployment rate,Terms of trade base year = 2000,Exports of goods and services as percent of GDP,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services as percent of GDP,Imports of goods and services billion USD,Trade balance as percent of GDP,Trade balance billion USD,Value added in the agricultural sector as percent of GDP,Agriculture value added billion USD,Value added by industry as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Industry value added billion USD,Manufacturing value added billion USD,Services value added billion USD,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. hundred dollars
Singapore,SGP,AS,2018,0.4,1.35,4.02,86.19,177.68,663.14,8.14,149.26,557.05,28.43,106.09,0.03,0.11,25.26,20.74,69.45,94.27,77.41,,3.44,373.22,66188.78
Singapore,SGP,AS,2019,0.6,1.36,4.11,,173.52,645.59,-1.56,145.63,541.84,27.89,103.76,0.03,0.11,24.49,19.8,70.38,91.12,73.68,,0.73,372.06,65233.28
South Korea,KOR,AS,1990,8.6,707.76,,133.33,24.99,70.83,5.09,25.76,72.98,-0.76,-3.19,7.61,21.55,36.32,25.02,46.49,102.92,70.9,130.9,9.88,283.37,6610.04
South Korea,KOR,AS,1991,9.3,733.35,2.41,134.19,23.78,78.62,12.22,26.05,86.13,-2.27,-8.17,6.82,22.57,37.15,25.19,47.15,122.83,83.29,154.57,10.78,330.65,7636.98
South Korea,KOR,AS,1992,6.2,780.65,2.51,134.21,24.07,85.58,12.12,24.69,87.77,-0.61,-3.27,6.61,23.49,35.88,24.41,48.51,127.57,86.79,170.95,6.2,355.53,8126.67
South Korea,KOR,AS,1993,4.8,802.67,2.88,132.43,23.67,92.95,10.06,23.25,91.28,0.43,1.66,5.91,23.23,36.21,24.64,49.12,142.2,96.76,190.83,6.88,392.67,8884.93
South Korea,KOR,AS,1994,6.3,803.45,2.48,137.27,24.07,111.6,18.1,24.6,114.03,-0.52,-4.43,5.66,26.23,36.24,25.3,49.16,168.03,117.3,225.16,9.27,463.62,10385.34
South Korea,KOR,AS,1995,4.5,771.27,2.06,138.46,25.72,145.75,22.96,26.74,151.5,-1.02,-8.4,5.33,30.19,36.49,25.8,49.26,206.75,146.19,275.22,9.61,566.58,12564.78
South Korea,KOR,AS,1996,4.9,804.45,2.05,125.89,24.8,151.33,10.19,27.85,169.94,-3.05,-21.98,4.96,30.27,35.45,24.71,50.28,216.29,150.74,301.75,7.89,610.17,13403.05
South Korea,KOR,AS,1997,4.4,951.29,2.61,121.9,28.35,161.5,18.71,29.18,166.24,-0.83,-7.99,4.48,25.5,35.4,24.66,50.76,201.67,140.51,283.1,6.17,569.75,12398.48
South Korea,KOR,AS,1998,7.5,1401.44,6.96,117.24,39.54,151.56,14.56,28.96,111.02,10.58,42.5,4.23,16.2,35.31,25.47,52.2,135.35,97.62,195.58,-5.13,383.33,8281.7
South Korea,KOR,AS,1999,0.8,1188.82,6.34,114.94,32.59,162.14,12.27,27.17,135.18,5.42,26.49,4.25,21.14,34.67,25.67,51.65,172.47,127.73,251,11.47,497.51,10672.42
South Korea,KOR,AS,2000,2.3,1130.96,4.4,100,33.94,195.55,16.99,32.16,185.28,1.78,14.55,3.86,22.23,34.76,26.45,51.62,200.25,152.39,289.98,9.06,576.18,12256.99
South Korea,KOR,AS,2001,4.1,1290.99,4,92.91,31.79,174.09,-1.8,30.44,166.69,1.35,7.14,3.57,19.53,33.22,24.88,53.08,181.94,136.25,281.54,4.85,547.66,11561.25
South Korea,KOR,AS,2002,2.8,1251.09,3.3,92.07,29.77,186.75,12.81,28.58,179.27,1.19,8.59,3.21,20.11,32.81,24.49,53.61,205.82,153.59,324.97,7.73,627.25,13165.07
South Korea,KOR,AS,2003,3.5,1191.61,3.6,88.51,31.4,220.64,13.58,29.78,209.25,1.62,17.29,2.96,20.83,33.11,24.12,53.87,232.68,169.52,364.53,3.15,702.72,14672.86
South Korea,KOR,AS,2004,3.6,1145.32,3.7,85.31,36.75,291.53,21,33.26,263.82,3.49,34.12,2.96,23.46,34.73,26.12,53.1,275.51,207.16,403.69,5.2,793.17,16496.12
South Korea,KOR,AS,2005,2.8,1024.12,3.7,77.46,35.28,329.86,7.9,33.04,308.91,2.24,23.51,2.62,24.49,34.15,25.74,53.88,319.27,240.62,481.07,4.31,934.9,19402.5
South Korea,KOR,AS,2006,2.2,954.79,3.5,70.41,35.63,375.22,12.05,35.03,368.89,0.6,11.47,2.5,26.3,33.52,25.31,54.7,353.01,266.52,548.82,5.26,1053.22,21743.48
South Korea,KOR,AS,2007,2.5,929.26,3.2,65.94,37.39,438.47,12.6,36.48,427.8,0.91,19.4,2.28,26.78,33.45,25.48,55.08,392.28,298.82,610.99,5.8,1172.61,24086.41
South Korea,KOR,AS,2008,4.7,1102.05,3.2,58.81,47.64,498.97,7.6,47.87,501.41,-0.23,5.44,2.14,22.44,32.51,25.62,56.19,340.49,268.35,553.39,3.01,1047.34,21350.43
South Korea,KOR,AS,2009,2.8,1276.93,3.6,61.31,45.19,426.52,-0.46,40.95,386.53,4.24,38.72,2.24,21.15,32.91,25.77,56,310.61,243.3,496.82,0.79,943.94,19143.85
South Korea,KOR,AS,2010,2.9,1156.06,3.7,56.82,47.1,538.9,13.03,44.3,506.77,2.81,33.96,2.14,24.53,34.12,27.44,54.7,390.32,313.92,586.99,6.8,1144.07,23087.23
South Korea,KOR,AS,2011,4,1108.29,3.4,51.05,53.34,668.44,15.42,52.23,654.54,1.11,15.96,2.21,27.69,34.45,28.24,54.65,431.75,353.87,645.24,3.69,1253.22,25096.26
South Korea,KOR,AS,2012,2.2,1126.47,3.2,50.19,54.09,691.55,5.79,51.36,656.66,2.73,43.53,2.19,27.95,34.13,27.83,55.07,436.39,355.81,660.7,2.4,1278.43,25466.76
South Korea,KOR,AS,2013,1.3,1094.85,3.1,51.86,51.29,703.11,3.82,46.66,639.61,4.63,73.93,2.1,28.77,34.45,27.79,55.21,472.21,380.89,705.29,3.16,1370.8,27182.73
South Korea,KOR,AS,2014,1.3,1052.96,3.5,52.72,47.83,709.97,2.1,42.78,635.04,5.05,82.85,2.06,30.53,34.09,27.04,55.64,506.03,401.4,767,3.2,1484.32,29249.58
South Korea,KOR,AS,2015,0.7,1131.16,3.6,59.03,42.99,630.13,0.23,36.14,529.77,6.85,105.65,2,29.37,34.15,26.61,55.58,500.56,389.98,747.28,2.81,1465.77,28732.23
South Korea,KOR,AS,2016,1,1160.43,3.7,59.61,40.13,602.03,2.37,33.47,502.1,6.66,99.12,1.86,27.89,34.3,26.36,55.36,514.51,395.4,760.46,2.95,1500.11,29288.87
South Korea,KOR,AS,2017,1.9,1130.42,3.7,59.4,40.93,664.73,2.48,36.19,587.64,4.75,76.86,1.85,30.05,34.77,26.95,54.85,564.57,437.57,808.92,3.16,1623.9,31616.84
South Korea,KOR,AS,2018,1.5,1100.5,3.85,55.92,41.63,716.29,3.47,37.03,637.12,4.6,80.72,1.82,31.38,34.12,26.65,55.45,587.03,458.53,,2.66,1720.58,33340.27
South Korea,KOR,AS,2019,0.4,1165.36,4.15,,39.83,654.09,1.67,36.88,605.77,2.94,53.84,1.69,27.81,32.97,25.38,56.77,541.43,416.9,,2.03,1642.38,31761.98
Thailand,THA,AS,1990,5.9,25.59,,118.52,34.13,29.13,13.39,41.65,35.55,-7.52,-6.64,12.5,10.67,37.22,27.2,,31.77,23.22,,11.17,85.34,1508.94
Thailand,THA,AS,1991,5.7,25.52,2.63,117.65,35.96,35.33,15.14,42.51,41.76,-6.54,-6.76,12.65,12.43,38.66,28.24,,37.98,27.74,,8.56,98.23,1716.42
Thailand,THA,AS,1992,4.1,25.4,1.35,120,36.97,41.21,13.81,40.98,45.68,-4.01,-5.24,12.3,13.71,38.06,27.52,,42.41,30.67,,8.08,111.45,1927.88
Thailand,THA,AS,1993,3.3,25.32,1.49,119.77,36.82,47.45,12.98,40.93,52.75,-4.11,-5.7,8.03,10.34,36.85,26.17,55.12,47.5,33.74,70.75,8.25,128.89,2209.36
Thailand,THA,AS,1994,5,25.15,1.35,121.59,38.24,56.09,13.1,43.01,63.08,-4.76,-7.46,8.63,12.66,37,25.9,54.38,54.27,37.99,79.43,8,146.68,2491.43
Thailand,THA,AS,1995,5.8,24.92,1.1,116,41.53,70.31,15.37,48.22,81.63,-6.69,-11.95,9.08,15.37,37.28,26.21,53.64,63.1,44.36,90.38,8.12,169.28,2846.59
Thailand,THA,AS,1996,5.8,25.34,1.07,114.41,39.02,71.42,-4.48,45.26,82.83,-6.24,-12.07,9.06,16.59,37.08,25.67,53.86,67.87,46.98,98.13,5.65,183.04,3043.98
Thailand,THA,AS,1997,5.6,31.36,0.87,115.09,48.24,72.44,9.05,46.81,70.31,1.42,-0.02,9.06,13.61,36.56,26.47,54.37,54.91,39.75,81.32,-2.75,150.18,2468.19
Thailand,THA,AS,1998,8,41.36,3.4,108.16,57.94,65.86,10.79,42.3,48.09,15.63,17.4,10.26,11.66,36.11,27.15,53.63,41.05,30.86,60.76,-7.63,113.68,1845.83
Thailand,THA,AS,1999,0.3,37.81,2.97,107.37,56.44,71.49,8.64,44.27,56.07,12.17,15.07,8.89,11.26,36.38,28.17,54.73,46.08,35.69,69.11,4.57,126.67,2033.26
Thailand,THA,AS,2000,1.6,40.11,2.39,100,64.84,81.95,15.83,56.46,71.36,8.38,10.11,8.5,10.74,36.67,28.38,54.83,46.35,35.86,69.08,4.46,126.39,2007.74
Thailand,THA,AS,2001,1.6,44.43,2.6,92.01,63.25,76.09,-0.02,57.02,68.59,6.23,6.96,8.58,10.32,36.32,27.83,55.1,43.69,33.47,66.1,3.44,120.3,1893.26
Thailand,THA,AS,2002,0.7,42.96,1.82,92.05,60.65,81.45,5.89,54.32,72.96,6.32,7.71,8.69,11.67,36.89,28.52,54.41,49.55,38.3,72.87,6.15,134.3,2096.19
Thailand,THA,AS,2003,1.8,41.48,1.54,94.16,61.52,93.69,9.13,55.17,84.01,6.35,8.8,9.44,14.38,37.92,29.58,52.64,57.74,45.05,79.94,7.19,152.28,2359.12
Thailand,THA,AS,2004,2.8,40.22,1.51,95.84,65.97,114.06,14.63,61.44,106.23,4.53,6.75,9.29,16.06,37.9,29.42,52.81,65.53,50.86,91.08,6.29,172.9,2660.13
Thailand,THA,AS,2005,4.5,40.22,1.35,96.67,68.4,129.5,7.76,69.45,131.48,-1.05,-3.47,9.19,17.41,38.51,29.62,52.3,72.9,56.07,98.77,4.19,189.32,2894.06
Thailand,THA,AS,2006,4.6,37.88,1.22,95.6,68.68,152.29,10.79,65.41,145.06,3.26,5.67,9.4,20.85,39.15,30.17,51.45,86.81,66.9,113.82,4.97,221.76,3369.54
Thailand,THA,AS,2007,2.2,34.52,1.18,95.91,68.87,181.09,8.89,61,160.4,7.87,18.68,9.35,24.58,39.43,30.59,51.22,103.68,80.43,134.37,5.44,262.94,3973.02
Thailand,THA,AS,2008,5.5,33.31,1.18,94.05,71.42,208.1,6.26,69.02,201.11,2.4,4.45,10.07,29.35,39.48,30.55,50.45,115.04,89.03,146.68,1.73,291.38,4379.66
Thailand,THA,AS,2009,-0.8,34.29,0.94,96.86,64.44,181.53,-12.14,54.83,154.46,9.61,26.98,9.79,27.57,38.61,29.46,51.6,108.76,83,145.09,-0.69,281.71,4213.01
Thailand,THA,AS,2010,3.2,31.69,0.62,97.8,66.49,226.79,14.22,60.76,207.27,5.72,19.68,10.52,35.89,39.92,30.93,49.56,136.17,105.51,168.72,7.51,341.1,5076.34
Thailand,THA,AS,2011,3.8,30.49,0.66,93.81,70.85,262.74,9.51,68.82,255.2,2.03,7.63,11.59,42.98,37.98,29,50.43,140.84,107.52,186.64,0.84,370.82,5492.12
Thailand,THA,AS,2012,3,31.08,0.58,92.9,68.95,274.12,3.66,68.72,273.22,0.23,0.88,11.5,45.74,37.34,27.97,51.15,148.46,111.21,203.01,7.24,397.56,5860.58
Thailand,THA,AS,2013,2.2,30.73,0.49,94.46,67.17,282.34,2.51,65.29,274.44,1.88,7.44,11.32,47.59,36.9,27.59,51.78,155.1,115.96,217.3,2.69,420.33,6168.26
Thailand,THA,AS,2014,1.9,32.48,0.58,94.9,68.39,278.6,0.35,62.51,254.63,5.88,23.91,10.09,41.1,36.76,27.57,53.15,149.75,112.32,216.19,0.98,407.34,5951.88
Thailand,THA,AS,2015,-0.9,34.25,0.6,102.08,67.64,271.42,1.25,57.2,229.55,10.43,41.68,8.87,35.61,36.18,27.37,54.95,145.19,109.85,219.91,3.13,401.3,5840.05
Thailand,THA,AS,2016,0.2,35.3,0.69,104.51,67.06,277.25,2.7,53.5,221.17,13.56,56.05,8.48,35.05,35.59,27.14,55.94,147.12,112.22,229.42,3.43,413.43,5994.23
Thailand,THA,AS,2017,0.7,33.94,0.83,102.6,66.68,304.27,5.18,54.23,247.43,12.46,56.88,8.4,38.33,35.05,27.04,56.55,159.95,123.36,256.34,4.07,456.29,6592.92
Thailand,THA,AS,2018,1.1,32.31,0.77,100.46,64.87,328.57,3.35,56.03,283.8,8.84,44.92,8.13,41.16,34.79,26.74,57.08,176.21,135.43,,4.15,506.51,7295.48
Thailand,THA,AS,2019,0.7,31.05,0.75,,59.74,324.78,-2.64,50.56,274.86,9.18,49.96,8,43.52,33.4,25.3,58.59,181.59,137.54,,2.37,543.65,7808.19
Vietnam,VNM,AS,1990,,6537.6,,,36.04,2.33,12.93,45.28,2.93,-9.24,,38.74,2.51,22.67,12.26,38.59,1.47,0.79,2.5,5.1,6.47,95.19
Vietnam,VNM,AS,1991,,10121.89,1.83,,30.92,2.97,29.86,36.03,3.46,-5.12,,40.49,3.89,23.79,13.1,35.72,2.29,1.26,3.43,5.96,9.61,138.45
Vietnam,VNM,AS,1992,,11202.19,1.85,,34.75,3.43,24.67,38.83,3.83,-4.09,,33.94,3.35,27.26,15.39,38.8,2.69,1.52,3.83,8.65,9.87,139.2
Vietnam,VNM,AS,1993,,10640.96,1.91,,28.72,3.79,9.13,37.49,4.94,-8.77,,29.87,3.94,28.9,15.17,41.23,3.81,2,5.43,8.07,13.18,182.31
Vietnam,VNM,AS,1994,,10965.67,1.92,,34.01,5.54,16,43.46,7.08,-9.45,,27.43,4.47,28.87,14.91,43.7,4.7,2.43,7.12,8.84,16.29,221.13
Vietnam,VNM,AS,1995,,11038.25,1.92,,32.81,6.8,20,41.91,8.69,-9.1,,27.18,5.64,28.76,14.99,44.06,5.96,3.11,9.14,9.54,20.74,276.81
Vietnam,VNM,AS,1996,5.7,11032.58,1.93,,40.87,10.08,24,51.84,12.78,-10.97,-2.84,27.76,6.84,29.73,15.18,42.51,7.33,3.74,10.48,9.34,24.66,324.15
Vietnam,VNM,AS,1997,3.2,11683.33,2.87,,43.1,11.57,16,51.24,13.76,-8.14,-1.87,25.77,6.92,32.08,16.48,42.15,8.61,4.43,11.32,8.15,26.84,348.02
Vietnam,VNM,AS,1998,7.3,13268,2.29,,44.85,12.2,19,52.15,14.19,-7.3,-1.52,25.78,7.01,32.49,17.15,41.73,8.84,4.67,11.35,5.76,27.21,348.32
Vietnam,VNM,AS,1999,4.1,13943.17,2.33,,49.97,14.33,23,52.82,15.15,-2.85,0.43,25.43,7.3,34.49,17.69,40.07,9.89,5.08,11.49,4.77,28.68,362.92
Vietnam,VNM,AS,2000,-1.7,14167.75,2.26,100,53.92,16.81,21.1,57.5,17.92,-3.57,-0.18,24.53,7.65,36.73,18.45,38.73,11.45,5.75,12.07,6.79,31.17,390.09
Vietnam,VNM,AS,2001,-0.4,14725.17,2.76,97.56,55.06,18,17.18,56.89,18.6,-1.83,-0.09,23.24,7.6,38.13,19.66,38.63,12.46,6.43,12.63,6.19,32.69,404.81
Vietnam,VNM,AS,2002,3.8,15279.5,2.12,98.34,54.74,19.19,10.37,61.96,21.72,-7.22,-1.8,23.03,8.08,38.49,20.46,38.48,13.5,7.17,13.49,6.32,35.06,430.05
Vietnam,VNM,AS,2003,3.2,15509.58,2.25,103.95,56.67,22.42,19.95,67.65,26.76,-10.98,-3.36,22.54,8.92,39.47,20.33,37.99,15.61,8.04,15.03,6.9,39.55,480.58
Vietnam,VNM,AS,2004,7.8,15746,2.14,106.23,59.73,27.13,25.62,73.29,33.29,-13.55,-3.16,21.81,9.91,40.21,20.34,37.98,18.27,9.24,17.26,7.54,45.43,546.91
Vietnam,VNM,AS,2005,8.3,15858.92,2.14,112.24,63.7,36.71,17.78,67.02,38.62,-3.32,-2.74,19.3,11.12,38.13,18.82,42.57,21.98,10.85,24.53,7.55,57.63,687.48
Vietnam,VNM,AS,2006,7.4,15994.25,2.08,116.02,67.72,44.94,11.2,70.6,46.86,-2.88,-2.78,18.73,12.43,38.58,19.38,42.69,25.61,12.86,28.33,6.98,66.37,784.37
Vietnam,VNM,AS,2007,8.3,16105.13,2.03,118.34,70.52,54.59,12.5,84.09,65.1,-13.57,-11.19,18.66,14.44,38.51,19.38,42.83,29.81,15,33.16,7.13,77.41,906.28
Vietnam,VNM,AS,2008,23.1,16302.25,1.79,124.95,70.34,69.72,13.7,83.98,83.25,-13.64,-13.73,20.41,20.24,37.08,18.58,42.51,36.76,18.42,42.14,5.66,99.13,1149.42
Vietnam,VNM,AS,2009,6.7,17065.08,1.74,124.52,62.61,66.37,-5.09,72.1,76.43,-9.49,-10.03,19.17,20.32,37.39,18.3,43.44,39.64,19.4,46.06,5.4,106.01,1217.27
Vietnam,VNM,AS,2010,9.2,18612.92,1.11,130.54,72,83.47,8.45,80.22,92.99,-8.21,-7.6,18.38,21.31,32.13,12.95,36.94,37.25,15.01,42.83,6.42,115.93,1317.89
Vietnam,VNM,AS,2011,18.7,20509.75,1.88,129.88,79.39,107.61,10.78,83.52,113.21,-4.13,-3.43,19.57,26.52,32.24,13.35,36.73,43.7,18.1,49.79,6.24,135.54,1525.12
Vietnam,VNM,AS,2012,9.1,20828,1.68,129.62,80.03,124.7,15.71,76.53,119.24,3.5,7.45,19.22,29.95,33.56,13.28,37.27,52.29,20.7,58.07,5.25,155.82,1735.14
Vietnam,VNM,AS,2013,6.6,20933.42,1.98,129.62,83.63,143.19,17.37,81.47,139.49,2.16,5.6,17.96,30.76,33.19,13.34,38.74,56.83,22.83,66.32,5.42,171.22,1886.67
Vietnam,VNM,AS,2014,4.1,21148,1.87,129.88,86.4,160.89,11.56,83.13,154.79,3.28,8.6,17.7,32.96,33.21,13.18,39.04,61.85,24.54,72.69,5.98,186.2,2030.26
Vietnam,VNM,AS,2015,0.6,21697.57,2.13,131.02,89.78,173.49,12.64,88.99,171.96,0.79,2.61,16.99,32.84,33.25,13.69,39.73,64.25,26.46,76.78,6.68,193.24,2085.1
Vietnam,VNM,AS,2016,2.7,21935,2.08,132.97,93.62,192.19,13.86,91.06,186.93,2.56,6.78,16.32,33.5,32.72,14.27,40.92,67.16,29.28,84.01,6.21,205.28,2192.21
Vietnam,VNM,AS,2017,3.5,22370.09,2.05,130.85,101.59,227.35,16.74,98.79,221.07,2.8,6.82,15.34,34.34,33.4,15.33,41.26,74.74,34.31,,6.81,223.78,2365.62
Vietnam,VNM,AS,2018,3.5,22602.05,1.99,128.31,105.83,259.51,14.27,102.47,251.28,3.36,12.86,14.68,36,34.23,16,41.12,83.94,39.23,,7.08,245.21,2566.6
Vietnam,VNM,AS,2019,2.8,23050.24,2.01,,106.8,279.72,6.71,103.6,271.36,3.19,19.14,13.96,36.55,34.49,16.48,41.64,90.34,43.17,,7.02,261.92,2715.28
