Section,Section ID,Trade Value,Year,Country
"""Wood Products""",9,3013150405,2016,
"""Paper Goods""",10,1012634744,2016,
"""Textiles""",11,806693419.1,2016,
"""Footwear and Headwear""",12,24150813.84,2016,
"""Stone And Glass""",13,76943145.03,2016,
"""Precious Metals""",14,463640708.3,2016,
"""Metals""",15,1231001904,2016,
"""Machines""",16,1852188162,2016,
"""Transportation""",17,605452582.2,2016,
"""Instruments""",18,587907074.5,2016,
"""Weapons""",19,7318985.835,2016,
"""Miscellaneous""",20,147151483.4,2016,
"""Arts and Antiques""",21,16468202.09,2016,
"""Animal Products""",1,16705081518,2017,
"""Vegetable Products""",2,2724205922,2017,
"""Animal and Vegetable Bi-Products""",3,181219032.9,2017,
"""Foodstuffs""",4,4496949110,2017,
"""Mineral Products""",5,1063047130,2017,
"""Chemical Products""",6,2245835874,2017,
"""Plastics and Rubbers""",7,385764316.2,2017,
"""Animal Hides""",8,306299398.2,2017,
"""Wood Products""",9,2839466140,2017,
"""Paper Goods""",10,1056211235,2017,
"""Textiles""",11,620455639.4,2017,
"""Footwear and Headwear""",12,23185339.59,2017,
"""Stone And Glass""",13,49669884.12,2017,
"""Precious Metals""",14,445560555.7,2017,
"""Metals""",15,1386165885,2017,
"""Machines""",16,1733979658,2017,
"""Transportation""",17,384009066.8,2017,
"""Instruments""",18,521958614,2017,
"""Weapons""",19,3821717.538,2017,
"""Miscellaneous""",20,118036061.7,2017,
"""Arts and Antiques""",21,15023066.72,2017,
"""Animal Products""",1,17303139490,2018,
"""Vegetable Products""",2,3074123183,2018,
"""Animal and Vegetable Bi-Products""",3,184377667.5,2018,
"""Foodstuffs""",4,5171219763,2018,
"""Mineral Products""",5,1366257256,2018,
"""Chemical Products""",6,2341023773,2018,
"""Plastics and Rubbers""",7,407530654.1,2018,
"""Animal Hides""",8,293746510.4,2018,
"""Wood Products""",9,3810367774,2018,
"""Paper Goods""",10,1217706894,2018,
"""Textiles""",11,679833417.3,2018,
"""Footwear and Headwear""",12,22742274.65,2018,
"""Stone And Glass""",13,60270358.86,2018,
"""Precious Metals""",14,504952719.5,2018,
"""Metals""",15,1619926667,2018,
"""Machines""",16,2076991160,2018,
"""Transportation""",17,349296539.7,2018,
"""Instruments""",18,553657406.4,2018,
"""Weapons""",19,5008414.705,2018,
"""Miscellaneous""",20,135946318.6,2018,
"""Arts and Antiques""",21,11964986.61,2018,
,,,,
"""Animal Products""",,3138,,China
"""Animal Products""",,1638,,America
"""Animal Products""",,648,,Australia
"""Animal Products""",,543,,Japan
"""Animal Products""",,479,,Algeria
"""Foodstuffs""",,1567,,Australia
"""Foodstuffs""",,524,,America
"""Foodstuffs""",,345,,China
"""Foodstuffs""",,282,,UK
"""Foodstuffs""",,193,,Japan
"""Wood Products""",,1374,,China
"""Wood Products""",,287,,Korea
"""Wood Products""",,257,,Australia
"""Wood Products""",,256,,Japan
"""Wood Products""",,177,,India
"""Vegetable Products""",,392,,Japan
"""Vegetable Products""",,328,,China
"""Vegetable Products""",,239,,Australia
"""Vegetable Products""",,193,,TaiWan
"""Vegetable Products""",,162,,America
