Section,Section ID,Trade Value,Year,Country,,,,,,,,,,
"""Machines""",16,46957513543,2016,,,,,,,,,,,
"""Transportation""",17,30608026444,2016,,,,,,,,,,,
"""Instruments""",18,8336459302,2016,,,,,,,,,,,
"""Weapons""",19,440019838.2,2016,,,,,,,,,,,
"""Miscellaneous""",20,6958761780,2016,,,,,,,,,,,
"""Arts and Antiques""",21,141475371.6,2016,,,,,,,,,,,
"""Animal Products""",1,2640169211,2017,,,,,,,,,,,
"""Vegetable Products""",2,2600044382,2017,,,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,559081937,2017,,,,,,,,,,,
"""Foodstuffs""",4,8948481915,2017,,,,,,,,,,,
"""Mineral Products""",5,23779407611,2017,,,,,,,,,,,
"""Chemical Products""",6,12752335226,2017,,,,,,,,,,,
"""Plastics and Rubbers""",7,8625933969,2017,,,,,,,,,,,
"""Animal Hides""",8,1247847737,2017,,,,,,,,,,,
"""Wood Products""",9,1825421338,2017,,,,,,,,,,,
"""Paper Goods""",10,3165185967,2017,,,,,,,,,,,
"""Textiles""",11,9252336494,2017,,,,,,,,,,,
"""Footwear and Headwear""",12,2005494133,2017,,,,,,,,,,,
"""Stone And Glass""",13,2339420259,2017,,,,,,,,,,,
"""Precious Metals""",14,5289736283,2017,,,,,,,,,,,
"""Metals""",15,9827671875,2017,,,,,,,,,,,
"""Machines""",16,48572325671,2017,,,,,,,,,,,
"""Transportation""",17,42918519244,2017,,,,,,,,,,,
"""Instruments""",18,6713656398,2017,,,,,,,,,,,
"""Weapons""",19,146573458.5,2017,,,,,,,,,,,
"""Miscellaneous""",20,7374557698,2017,,,,,,,,,,,
"""Arts and Antiques""",21,141426066.3,2017,,,,,,,,,,,
"""Animal Products""",1,2594082093,2018,,,,,,,,,,,
"""Vegetable Products""",2,2589435408,2018,,,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,610849141.5,2018,,,,,,,,,,,
"""Foodstuffs""",4,9808215131,2018,,,,,,,,,,,
"""Mineral Products""",5,31978888245,2018,,,,,,,,,,,
"""Chemical Products""",6,20423464072,2018,,,,,,,,,,,
"""Plastics and Rubbers""",7,9489571799,2018,,,,,,,,,,,
