Section,Section ID,Trade Value,Year,Country
"""Animal Hides""",8,1290385291,2013,
"""Wood Products""",9,954269657.3,2013,
"""Paper Goods""",10,1497273553,2013,
"""Textiles""",11,5525529881,2013,
"""Footwear and Headwear""",12,59510980.1,2013,
"""Stone And Glass""",13,283961008.6,2013,
"""Precious Metals""",14,23903109928,2013,
"""Metals""",15,17400069981,2013,
"""Machines""",16,8323563329,2013,
"""Transportation""",17,4414436391,2013,
"""Instruments""",18,2726359032,2013,
"""Weapons""",19,82014522.58,2013,
"""Miscellaneous""",20,486228756,2013,
"""Arts and Antiques""",21,105491171.3,2013,
"""Animal Products""",1,15971985907,2014,
"""Vegetable Products""",2,12494418630,2014,
"""Animal and Vegetable Bi-Products""",3,523560030,2014,
"""Foodstuffs""",4,6059113021,2014,
"""Mineral Products""",5,1.39E+11,2014,
"""Chemical Products""",6,11725531160,2014,
"""Plastics and Rubbers""",7,1283542590,2014,
"""Animal Hides""",8,1258451737,2014,
"""Wood Products""",9,1349520043,2014,
"""Paper Goods""",10,1514561811,2014,
"""Textiles""",11,4544641718,2014,
"""Footwear and Headwear""",12,72319785.71,2014,
"""Stone And Glass""",13,276863110.1,2014,
"""Precious Metals""",14,18898840922,2014,
"""Metals""",15,17694394023,2014,
"""Machines""",16,7521002924,2014,
"""Transportation""",17,4402654156,2014,
"""Instruments""",18,2901539760,2014,
"""Weapons""",19,67289282.57,2014,
"""Miscellaneous""",20,450568154.8,2014,
"""Arts and Antiques""",21,96316058.62,2014,
"""Animal Products""",1,15539332809,2015,
"""Vegetable Products""",2,11841457319,2015,
"""Animal and Vegetable Bi-Products""",3,448294322,2015,
"""Foodstuffs""",4,6037997790,2015,
"""Mineral Products""",5,98168966265,2015,
"""Chemical Products""",6,10890361721,2015,
"""Plastics and Rubbers""",7,1164878797,2015,
"""Animal Hides""",8,1040408603,2015,
"""Wood Products""",9,1413646134,2015,
"""Paper Goods""",10,1341141774,2015,
"""Textiles""",11,3461198830,2015,
"""Footwear and Headwear""",12,68173964.88,2015,
"""Stone And Glass""",13,264548815.7,2015,
"""Precious Metals""",14,16896355892,2015,
"""Metals""",15,13545964446,2015,
"""Machines""",16,6566475978,2015,
"""Transportation""",17,4190660522,2015,
"""Instruments""",18,2848946558,2015,
"""Weapons""",19,51585273.96,2015,
"""Miscellaneous""",20,481048492.3,2015,
"""Arts and Antiques""",21,84985218.84,2015,
"""Animal Products""",1,13123211340,2016,
"""Vegetable Products""",2,10234079617,2016,
"""Animal and Vegetable Bi-Products""",3,413332901,2016,
"""Foodstuffs""",4,6975936224,2016,
"""Mineral Products""",5,97468212794,2016,
"""Chemical Products""",6,10749583222,2016,
"""Plastics and Rubbers""",7,1170708877,2016,
"""Animal Hides""",8,794226945.1,2016,
"""Wood Products""",9,1578855038,2016,
"""Paper Goods""",10,1300291072,2016,
"""Textiles""",11,3993874944,2016,
"""Footwear and Headwear""",12,73546575.18,2016,
"""Stone And Glass""",13,190839942.5,2016,
"""Precious Metals""",14,22639043369,2016,
"""Metals""",15,11591977481,2016,
"""Machines""",16,6143994784,2016,
"""Transportation""",17,3661289761,2016,
"""Instruments""",18,2937705931,2016,
"""Weapons""",19,35086746.73,2016,
"""Miscellaneous""",20,465411736.8,2016,
"""Arts and Antiques""",21,82475689.79,2016,
"""Animal Products""",1,13921216181,2017,
"""Vegetable Products""",2,13642857984,2017,
"""Animal and Vegetable Bi-Products""",3,638178308.1,2017,
"""Foodstuffs""",4,7711266298,2017,
"""Mineral Products""",5,1.32E+11,2017,
"""Chemical Products""",6,10186331683,2017,
"""Plastics and Rubbers""",7,1251014235,2017,
"""Animal Hides""",8,764714164.6,2017,
"""Wood Products""",9,1769067144,2017,
"""Paper Goods""",10,1435712590,2017,
"""Textiles""",11,4659894353,2017,
"""Footwear and Headwear""",12,92207890.45,2017,
"""Stone And Glass""",13,159992883.9,2017,
"""Precious Metals""",14,30786900576,2017,
"""Metals""",15,13138707856,2017,
"""Machines""",16,5984196856,2017,
"""Transportation""",17,2904877628,2017,
"""Instruments""",18,2860335503,2017,
"""Weapons""",19,30096323.09,2017,
"""Miscellaneous""",20,539661655.4,2017,
"""Arts and Antiques""",21,57703758.05,2017,
"""Animal Products""",1,15306218374,2018,
"""Vegetable Products""",2,10342880440,2018,
"""Animal and Vegetable Bi-Products""",3,570508850.3,2018,
"""Foodstuffs""",4,7576694662,2018,
"""Mineral Products""",5,1.42E+11,2018,
"""Chemical Products""",6,13893492306,2018,
"""Plastics and Rubbers""",7,1233995097,2018,
"""Animal Hides""",8,720465303.7,2018,
"""Wood Products""",9,2073958099,2018,
"""Paper Goods""",10,1489909838,2018,
"""Textiles""",11,4945524471,2018,
"""Footwear and Headwear""",12,83072454.37,2018,
"""Stone And Glass""",13,214477437.6,2018,
"""Precious Metals""",14,23079882413,2018,
"""Metals""",15,15274572616,2018,
"""Machines""",16,6699813703,2018,
"""Transportation""",17,2410461057,2018,
"""Instruments""",18,3101717110,2018,
"""Weapons""",19,48844302.89,2018,
"""Miscellaneous""",20,533851811.6,2018,
"""Arts and Antiques""",21,83839180.61,2018,
,,,,
"""Mineral Products""",,41888,,China
"""Mineral Products""",,14024,,Japan
"""Mineral Products""",,7516,,Korea
"""Mineral Products""",,5047,,India
"""Mineral Products""",,3580,,"Taiwan, China"
"""Precious Metals""",,5504,,Britain
"""Precious Metals""",,4935,,HongKong
"""Precious Metals""",,1970,,China
"""Precious Metals""",,672,,Switzerland
"""Precious Metals""",,613,,Singapore
"""Animal Products""",,2091,,Japan
"""Animal Products""",,2026,,America
"""Animal Products""",,1258,,China
"""Animal Products""",,1252,,Korea
"""Animal Products""",,938,,Indonesia
"""Vegetable Products""",,1160,,China
"""Vegetable Products""",,969,,India
"""Vegetable Products""",,844,,Indonesia
"""Vegetable Products""",,716,,Japan
"""Vegetable Products""",,511,,Vietnam
