Section,Section ID,Trade Value,Year,Country
"""Arts and Antiques""",21,139082878.7,2012,
"""Animal Products""",1,1846702585,2013,
"""Vegetable Products""",2,841202258.6,2013,
"""Animal and Vegetable Bi-Products""",3,87711651.77,2013,
"""Foodstuffs""",4,3985782881,2013,
"""Mineral Products""",5,52886709489,2013,
"""Chemical Products""",6,39226351682,2013,
"""Plastics and Rubbers""",7,40628684390,2013,
"""Animal Hides""",8,1738182790,2013,
"""Wood Products""",9,104143117.3,2013,
"""Paper Goods""",10,3874598889,2013,
"""Textiles""",11,15173620958,2013,
"""Footwear and Headwear""",12,600986439.5,2013,
"""Stone And Glass""",13,2306981766,2013,
"""Precious Metals""",14,4481835677,2013,
"""Metals""",15,47160897222,2013,
"""Machines""",16,2.12E+11,2013,
"""Transportation""",17,1.08E+11,2013,
"""Instruments""",18,33834738326,2013,
"""Weapons""",19,406382652,2013,
"""Miscellaneous""",20,3379694135,2013,
"""Arts and Antiques""",21,143843074.1,2013,
"""Animal Products""",1,1640611209,2014,
"""Vegetable Products""",2,812832074.6,2014,
"""Animal and Vegetable Bi-Products""",3,78303002.57,2014,
"""Foodstuffs""",4,4635948011,2014,
"""Mineral Products""",5,51919952661,2014,
"""Chemical Products""",6,39831197569,2014,
"""Plastics and Rubbers""",7,41545256305,2014,
"""Animal Hides""",8,1564275066,2014,
"""Wood Products""",9,116047536.9,2014,
"""Paper Goods""",10,3777475167,2014,
"""Textiles""",11,15320779338,2014,
"""Footwear and Headwear""",12,581035385.1,2014,
"""Stone And Glass""",13,2681606536,2014,
"""Precious Metals""",14,4677895458,2014,
"""Metals""",15,50398680705,2014,
"""Machines""",16,2.18E+11,2014,
"""Transportation""",17,1.13E+11,2014,
"""Instruments""",18,33981330832,2014,
"""Weapons""",19,444127601.9,2014,
"""Miscellaneous""",20,3354197342,2014,
"""Arts and Antiques""",21,132797964.6,2014,
"""Animal Products""",1,1490234622,2015,
"""Vegetable Products""",2,786973804.3,2015,
"""Animal and Vegetable Bi-Products""",3,104299670.6,2015,
"""Foodstuffs""",4,4444179862,2015,
"""Mineral Products""",5,33682574966,2015,
"""Chemical Products""",6,35293325568,2015,
"""Plastics and Rubbers""",7,37032359344,2015,
"""Animal Hides""",8,1340766180,2015,
"""Wood Products""",9,89688558.02,2015,
"""Paper Goods""",10,3556990188,2015,
"""Textiles""",11,13712583852,2015,
"""Footwear and Headwear""",12,557823730.8,2015,
"""Stone And Glass""",13,2879576941,2015,
"""Precious Metals""",14,3483924601,2015,
"""Metals""",15,44909665405,2015,
"""Machines""",16,2.12E+11,2015,
"""Transportation""",17,1.09E+11,2015,
"""Instruments""",18,32702578460,2015,
"""Weapons""",19,484965530.4,2015,
"""Miscellaneous""",20,2949179565,2015,
"""Arts and Antiques""",21,442009748.8,2015,
"""Animal Products""",1,1590481785,2016,
"""Vegetable Products""",2,820750690.1,2016,
"""Animal and Vegetable Bi-Products""",3,83011791.08,2016,
"""Foodstuffs""",4,4629425504,2016,
"""Mineral Products""",5,27918633776,2016,
"""Chemical Products""",6,38122590845,2016,
"""Plastics and Rubbers""",7,36038358877,2016,
"""Animal Hides""",8,1175640174,2016,
"""Wood Products""",9,86941941.59,2016,
"""Paper Goods""",10,3578033270,2016,
"""Textiles""",11,12796394042,2016,
"""Footwear and Headwear""",12,548254394.4,2016,
"""Stone And Glass""",13,2891586815,2016,
"""Precious Metals""",14,3856605334,2016,
"""Metals""",15,41035836162,2016,
"""Machines""",16,1.95E+11,2016,
"""Transportation""",17,96023470972,2016,
"""Instruments""",18,27784272292,2016,
"""Weapons""",19,477373858.7,2016,
"""Miscellaneous""",20,2919937507,2016,
"""Arts and Antiques""",21,329439064.4,2016,
"""Animal Products""",1,1508334548,2017,
"""Vegetable Products""",2,1052678651,2017,
"""Animal and Vegetable Bi-Products""",3,103058815,2017,
"""Foodstuffs""",4,5379284692,2017,
"""Mineral Products""",5,36558592444,2017,
"""Chemical Products""",6,45140612502,2017,
"""Plastics and Rubbers""",7,40410484769,2017,
"""Animal Hides""",8,1031754700,2017,
"""Wood Products""",9,87041013.07,2017,
"""Paper Goods""",10,3501371355,2017,
"""Textiles""",11,13405625975,2017,
"""Footwear and Headwear""",12,659265063.1,2017,
"""Stone And Glass""",13,2840265714,2017,
"""Precious Metals""",14,4309806719,2017,
"""Metals""",15,50299200374,2017,
"""Machines""",16,2.48E+11,2017,
"""Transportation""",17,1.06E+11,2017,
"""Instruments""",18,29150664668,2017,
"""Weapons""",19,535909800.7,2017,
"""Miscellaneous""",20,2875674199,2017,
"""Arts and Antiques""",21,119898227,2017,
"""Animal Products""",1,1454420088,2018,
"""Vegetable Products""",2,1024246561,2018,
"""Animal and Vegetable Bi-Products""",3,86353759.91,2018,
"""Foodstuffs""",4,6056038902,2018,
"""Mineral Products""",5,43663551734,2018,
"""Chemical Products""",6,54518643591,2018,
"""Plastics and Rubbers""",7,43879775949,2018,
"""Animal Hides""",8,1066439328,2018,
"""Wood Products""",9,77561589.65,2018,
"""Paper Goods""",10,3857987911,2018,
"""Textiles""",11,13603563943,2018,
"""Footwear and Headwear""",12,636071531.2,2018,
"""Stone And Glass""",13,3182300150,2018,
"""Precious Metals""",14,2766587849,2018,
"""Metals""",15,52978431868,2018,
"""Machines""",16,2.87E+11,2018,
"""Transportation""",17,88631308234,2018,
"""Instruments""",18,28808613878,2018,
"""Weapons""",19,714101262.5,2018,
"""Miscellaneous""",20,2908074604,2018,
"""Arts and Antiques""",21,168994533.8,2018,
,,,,
,,,,
"""Machines""",,59221,,China
"""Machines""",,24831,,America
"""Machines""",,23182,,Hong Kong
"""Machines""",,18383,,Vietnam
"""Machines""",,7203,,Japan
"""Transportation""",,22980,,America
"""Transportation""",,7725,,Marshall Islands
"""Transportation""",,4997,,China
"""Transportation""",,3637,,Liberia
"""Transportation""",,3400,,Norway
"""Metals""",,7140,,China
"""Metals""",,4784,,America
"""Metals""",,3983,,Japan
"""Metals""",,2797,,Vietnam
"""Metals""",,2548,,India
"""Chemical Products""",,15914,,China
"""Chemical Products""",,2329,,Japan
"""Chemical Products""",,2177,,America
"""Chemical Products""",,2040,,TaiWan
"""Chemical Products""",,1554,,Hong Kong
"""Chemical Products""",,,,
