Section,Section ID,Trade Value,Year,Country
"""Machines""",16,8498403361,2014,
"""Transportation""",17,7670570356,2014,
"""Instruments""",18,1257231725,2014,
"""Weapons""",19,49094023.88,2014,
"""Miscellaneous""",20,1193598852,2014,
"""Arts and Antiques""",21,30354500.66,2014,
"""Animal Products""",1,515666125.4,2015,
"""Vegetable Products""",2,859034511.8,2015,
"""Animal and Vegetable Bi-Products""",3,210089546.3,2015,
"""Foodstuffs""",4,2504364975,2015,
"""Mineral Products""",5,3688476466,2015,
"""Chemical Products""",6,3283310000,2015,
"""Plastics and Rubbers""",7,1848305200,2015,
"""Animal Hides""",8,176842741.2,2015,
"""Wood Products""",9,214642974.8,2015,
"""Paper Goods""",10,947782816.6,2015,
"""Textiles""",11,1785874932,2015,
"""Footwear and Headwear""",12,340544209.5,2015,
"""Stone And Glass""",13,453689908,2015,
"""Precious Metals""",14,234396048.1,2015,
"""Metals""",15,1800320374,2015,
"""Machines""",16,7886921158,2015,
"""Transportation""",17,6162654722,2015,
"""Instruments""",18,1142942901,2015,
"""Weapons""",19,65831523.77,2015,
"""Miscellaneous""",20,1217737547,2015,
"""Arts and Antiques""",21,35727232.7,2015,
"""Animal Products""",1,478245957,2016,
"""Vegetable Products""",2,780310194.7,2016,
"""Animal and Vegetable Bi-Products""",3,212160693.5,2016,
"""Foodstuffs""",4,2586099382,2016,
"""Mineral Products""",5,3089628089,2016,
"""Chemical Products""",6,3099890573,2016,
"""Plastics and Rubbers""",7,1797640950,2016,
"""Animal Hides""",8,183759786.9,2016,
"""Wood Products""",9,228270222.9,2016,
"""Paper Goods""",10,1000149641,2016,
"""Textiles""",11,1812438094,2016,
"""Footwear and Headwear""",12,337132757.7,2016,
"""Stone And Glass""",13,486408509.5,2016,
"""Precious Metals""",14,301118322,2016,
"""Metals""",15,1814651677,2016,
"""Machines""",16,7802449270,2016,
"""Transportation""",17,6263965223,2016,
"""Instruments""",18,1172316262,2016,
"""Weapons""",19,42601955.11,2016,
"""Miscellaneous""",20,1252168677,2016,
"""Arts and Antiques""",21,34457780.44,2016,
"""Animal Products""",1,494393987.9,2017,
"""Vegetable Products""",2,879057767.6,2017,
"""Animal and Vegetable Bi-Products""",3,236652505.7,2017,
"""Foodstuffs""",4,2945289071,2017,
"""Mineral Products""",5,3686661585,2017,
"""Chemical Products""",6,2541047262,2017,
"""Plastics and Rubbers""",7,2010424179,2017,
"""Animal Hides""",8,161911795,2017,
"""Wood Products""",9,252117748,2017,
"""Paper Goods""",10,972000795.5,2017,
"""Textiles""",11,1763457218,2017,
"""Footwear and Headwear""",12,341903225.7,2017,
"""Stone And Glass""",13,463035081,2017,
"""Precious Metals""",14,95421329.2,2017,
"""Metals""",15,1917192857,2017,
"""Machines""",16,7845652214,2017,
"""Transportation""",17,7225797960,2017,
"""Instruments""",18,971057534,2017,
"""Weapons""",19,54239887.51,2017,
"""Miscellaneous""",20,1319262122,2017,
"""Arts and Antiques""",21,9311025.67,2017,
"""Animal Products""",1,567059626.3,2018,
"""Vegetable Products""",2,932569001.6,2018,
"""Animal and Vegetable Bi-Products""",3,271421828.7,2018,
"""Foodstuffs""",4,3233730724,2018,
"""Mineral Products""",5,5216209325,2018,
"""Chemical Products""",6,3945291231,2018,
"""Plastics and Rubbers""",7,2106691522,2018,
"""Animal Hides""",8,226423012.3,2018,
"""Wood Products""",9,288471488.4,2018,
"""Paper Goods""",10,1039739627,2018,
"""Textiles""",11,1910537739,2018,
"""Footwear and Headwear""",12,362292894.2,2018,
"""Stone And Glass""",13,548466382.7,2018,
"""Precious Metals""",14,232463081.3,2018,
"""Metals""",15,2169399219,2018,
"""Machines""",16,9941907023,2018,
"""Transportation""",17,7607571450,2018,
"""Instruments""",18,1073195315,2018,
"""Weapons""",19,51912492.82,2018,
"""Miscellaneous""",20,1402871391,2018,
"""Arts and Antiques""",21,33778469.75,2018,
,,,,
,,,,
"""Machines""",,2556,,China
"""Machines""",,1078,,America
"""Machines""",,501,,Australia
"""Machines""",,475,,Japan
"""Machines""",,450,,German
"""Transportation""",,1584,,Japan
"""Transportation""",,1189,,America
"""Transportation""",,858,,Thailand
"""Transportation""",,656,,German
"""Transportation""",,460,,Korea
"""Chemical Products""",,735,,Australia
"""Chemical Products""",,429,,America
"""Chemical Products""",,425,,China
"""Chemical Products""",,246,,German
"""Chemical Products""",,124,,France
"""Mineral Products""",,695,,The United Arab Emirates
"""Mineral Products""",,486,,Korea
"""Mineral Products""",,485,,Singapore
"""Mineral Products""",,371,,Saudi Arabia
"""Mineral Products""",,223,,Australia
