Section,Section ID,Trade Value,Year,Country
"""Footwear and Headwear""",12,293214033.1,2012,
"""Stone And Glass""",13,1739494943,2012,
"""Precious Metals""",14,12141181485,2012,
"""Metals""",15,28218363872,2012,
"""Machines""",16,70420894379,2012,
"""Transportation""",17,16042842827,2012,
"""Instruments""",18,6937981181,2012,
"""Weapons""",19,202521544.8,2012,
"""Miscellaneous""",20,1440644687,2012,
"""Arts and Antiques""",21,4245346.454,2012,
"""Animal Products""",1,3771318734,2013,
"""Vegetable Products""",2,3645496839,2013,
"""Animal and Vegetable Bi-Products""",3,287728029.7,2013,
"""Foodstuffs""",4,5115692870,2013,
"""Mineral Products""",5,47093891843,2013,
"""Chemical Products""",6,17310326030,2013,
"""Plastics and Rubbers""",7,10095391909,2013,
"""Animal Hides""",8,1200597276,2013,
"""Wood Products""",9,670746926.7,2013,
"""Paper Goods""",10,2533541631,2013,
"""Textiles""",11,4866074675,2013,
"""Footwear and Headwear""",12,372572204.7,2013,
"""Stone And Glass""",13,1780173889,2013,
"""Precious Metals""",14,16494748405,2013,
"""Metals""",15,27823804770,2013,
"""Machines""",16,63919104146,2013,
"""Transportation""",17,17920618603,2013,
"""Instruments""",18,6459707892,2013,
"""Weapons""",19,203177301.4,2013,
"""Miscellaneous""",20,1557034916,2013,
"""Arts and Antiques""",21,8455304.895,2013,
"""Animal Products""",1,3880579126,2014,
"""Vegetable Products""",2,3625264259,2014,
"""Animal and Vegetable Bi-Products""",3,336815193.2,2014,
"""Foodstuffs""",4,5080927103,2014,
"""Mineral Products""",5,46279770487,2014,
"""Chemical Products""",6,17080300916,2014,
"""Plastics and Rubbers""",7,9935019845,2014,
"""Animal Hides""",8,1392593542,2014,
"""Wood Products""",9,639492019.8,2014,
"""Paper Goods""",10,2537993424,2014,
"""Textiles""",11,4930712558,2014,
"""Footwear and Headwear""",12,426853013.6,2014,
"""Stone And Glass""",13,1681749183,2014,
"""Precious Metals""",14,7953793428,2014,
"""Metals""",15,26074684903,2014,
"""Machines""",16,61492397398,2014,
"""Transportation""",17,11934374561,2014,
"""Instruments""",18,5962481737,2014,
"""Weapons""",19,114793724.2,2014,
"""Miscellaneous""",20,1544039153,2014,
"""Arts and Antiques""",21,9432337.642,2014,
"""Animal Products""",1,3464867183,2015,
"""Vegetable Products""",2,4639206404,2015,
"""Animal and Vegetable Bi-Products""",3,299876065.8,2015,
"""Foodstuffs""",4,4535414344,2015,
"""Mineral Products""",5,30714552461,2015,
"""Chemical Products""",6,15666115171,2015,
"""Plastics and Rubbers""",7,9506948121,2015,
"""Animal Hides""",8,1264543924,2015,
"""Wood Products""",9,540833064,2015,
"""Paper Goods""",10,2497675897,2015,
"""Textiles""",11,4661432659,2015,
"""Footwear and Headwear""",12,458759434.8,2015,
"""Stone And Glass""",13,1747436738,2015,
"""Precious Metals""",14,8259613410,2015,
"""Metals""",15,23314041160,2015,
"""Machines""",16,59383289071,2015,
"""Transportation""",17,11876101408,2015,
"""Instruments""",18,5803037970,2015,
"""Weapons""",19,157562233.8,2015,
"""Miscellaneous""",20,1721118540,2015,
"""Arts and Antiques""",21,6253299.94,2015,
"""Animal Products""",1,3702554940,2016,
"""Vegetable Products""",2,4885322006,2016,
"""Animal and Vegetable Bi-Products""",3,334713803.9,2016,
"""Foodstuffs""",4,4706830043,2016,
"""Mineral Products""",5,22457348545,2016,
"""Chemical Products""",6,15284194636,2016,
"""Plastics and Rubbers""",7,9382069883,2016,
"""Animal Hides""",8,1323098177,2016,
"""Wood Products""",9,535814715.8,2016,
"""Paper Goods""",10,2447035641,2016,
"""Textiles""",11,4702695994,2016,
"""Footwear and Headwear""",12,487876424.6,2016,
"""Stone And Glass""",13,1823762528,2016,
"""Precious Metals""",14,7102757767,2016,
"""Metals""",15,22898711326,2016,
"""Machines""",16,60098890504,2016,
"""Transportation""",17,11900773704,2016,
"""Instruments""",18,5708480680,2016,
"""Weapons""",19,176015693.8,2016,
"""Miscellaneous""",20,1740592371,2016,
"""Arts and Antiques""",21,6302092.071,2016,
"""Animal Products""",1,3380442944,2017,
"""Vegetable Products""",2,4668245303,2017,
"""Animal and Vegetable Bi-Products""",3,315706905,2017,
"""Foodstuffs""",4,4700209792,2017,
"""Mineral Products""",5,11147291687,2017,
"""Chemical Products""",6,15203854657,2017,
"""Plastics and Rubbers""",7,8191490347,2017,
"""Animal Hides""",8,1308775738,2017,
"""Wood Products""",9,467781438,2017,
"""Paper Goods""",10,2237125195,2017,
"""Textiles""",11,4643715180,2017,
"""Footwear and Headwear""",12,574984963,2017,
"""Stone And Glass""",13,1469932469,2017,
"""Precious Metals""",14,12930345147,2017,
"""Metals""",15,18325237640,2017,
"""Machines""",16,52823420586,2017,
"""Transportation""",17,10187490351,2017,
"""Instruments""",18,6024169721,2017,
"""Weapons""",19,119820139,2017,
"""Miscellaneous""",20,1942746217,2017,
"""Arts and Antiques""",21,8488144,2017,
"""Animal Products""",1,4634697394,2018,
"""Vegetable Products""",2,4748088565,2018,
"""Animal and Vegetable Bi-Products""",3,294157322.9,2018,
"""Foodstuffs""",4,5567201463,2018,
"""Mineral Products""",5,41641345467,2018,
"""Chemical Products""",6,19748477200,2018,
"""Plastics and Rubbers""",7,11765858693,2018,
"""Animal Hides""",8,1665835805,2018,
"""Wood Products""",9,599067964.7,2018,
"""Paper Goods""",10,2827531873,2018,
"""Textiles""",11,5350901698,2018,
"""Footwear and Headwear""",12,640183337.3,2018,
"""Stone And Glass""",13,1851239770,2018,
"""Precious Metals""",14,14012850147,2018,
"""Metals""",15,29237533300,2018,
"""Machines""",16,70103254754,2018,
"""Transportation""",17,14608667843,2018,
"""Instruments""",18,6865344110,2018,
"""Weapons""",19,315159541,2018,
"""Miscellaneous""",20,2076943708,2018,
"""Arts and Antiques""",21,13481677.58,2018,
,,,,
,,,,
"""Machines""",,20077,,China
"""Machines""",,12006,,Japan
"""Machines""",,5079,,Malaysia
"""Machines""",,4076,,America
"""Machines""",,3767,,TaiWan
"""Metals""",,5513,,The United Arab Emirates
"""Metals""",,4185,,Saudi Arabia
"""Metals""",,2146,,Qatar
"""Metals""",,1971,,Burma
"""Metals""",,1887,,Malaysia
"""Mineral Products""",,7014,,China
"""Mineral Products""",,6588,,Japan
"""Mineral Products""",,1981,,Korea
"""Mineral Products""",,1210,,TaiWan
"""Mineral Products""",,805,,Malaysia
"""Chemical Products""",,3404,,China
"""Chemical Products""",,1864,,Japan
"""Chemical Products""",,1442,,America
"""Chemical Products""",,966,,Singapore
"""Chemical Products""",,880,,German
