Section,Section ID,Trade Value,Year,Country
"""Weapons""",19,18023884.06,2016,
"""Miscellaneous""",20,4855439128,2016,
"""Arts and Antiques""",21,253094243.5,2016,
"""Animal Products""",1,23119453817,2017,
"""Vegetable Products""",2,58634879480,2017,
"""Animal and Vegetable Bi-Products""",3,7659034030,2017,
"""Foodstuffs""",4,22163647279,2017,
"""Mineral Products""",5,3.34E+11,2017,
"""Chemical Products""",6,1.15E+11,2017,
"""Plastics and Rubbers""",7,79926043148,2017,
"""Animal Hides""",8,7918745415,2017,
"""Wood Products""",9,20552016047,2017,
"""Paper Goods""",10,25607523396,2017,
"""Textiles""",11,28402672521,2017,
"""Footwear and Headwear""",12,3344972932,2017,
"""Stone And Glass""",13,7739306976,2017,
"""Precious Metals""",14,48226510858,2017,
"""Metals""",15,87281482009,2017,
"""Machines""",16,4.60E+11,2017,
"""Transportation""",17,1.05E+11,2017,
"""Instruments""",18,89879043145,2017,
"""Weapons""",19,19290858.36,2017,
"""Miscellaneous""",20,5832352990,2017,
"""Arts and Antiques""",21,136249852.9,2017,
"""Animal Products""",1,28689106051,2018,
"""Vegetable Products""",2,59892802649,2018,
"""Animal and Vegetable Bi-Products""",3,8143758043,2018,
"""Foodstuffs""",4,25418983795,2018,
"""Mineral Products""",5,4.38E+11,2018,
"""Chemical Products""",6,1.41E+11,2018,
"""Plastics and Rubbers""",7,82961395270,2018,
"""Animal Hides""",8,7418170518,2018,
"""Wood Products""",9,22026510250,2018,
"""Paper Goods""",10,30008402386,2018,
"""Textiles""",11,30898335849,2018,
"""Footwear and Headwear""",12,4244917622,2018,
"""Stone And Glass""",13,8147665681,2018,
"""Precious Metals""",14,48362507025,2018,
"""Metals""",15,95787480386,2018,
"""Machines""",16,4.63E+11,2018,
"""Transportation""",17,1.15E+11,2018,
"""Instruments""",18,96805632157,2018,
"""Weapons""",19,19776315.13,2018,
"""Miscellaneous""",20,6309839946,2018,
"""Arts and Antiques""",21,277419606.2,2018,
,,,,
"""Machines""",,44800,,Australia
"""Machines""",,18700,,Russia
"""Machines""",,14900,,Saudi Arabia
"""Machines""",,12300,,Angola
"""Machines""",,12000,,Brazil
"""Mineral Products""",,20200,,Switzerland
"""Mineral Products""",,11100,,South Africa
"""Mineral Products""",,10800,,Hong Kong
"""Mineral Products""",,7660,,Australia
"""Mineral Products""",,2090,,Singapore
"""Transportation""",,3160,,New Zealand
"""Transportation""",,2130,,United States
"""Transportation""",,1780,,Brazil
"""Transportation""",,1320,,Germany
"""Transportation""",,1080,,Russia
"""Chemical Products""",,16700,,United States
"""Chemical Products""",,14400,,Brazil
"""Chemical Products""",,3240,,Canada
"""Chemical Products""",,2850,,Argentina
"""Chemical Products""",,2780,,Thailand
