Section,Section ID,Trade Value,Year,Country
"""Stone And Glass""",13,4611726346,2013,
"""Precious Metals""",14,3666761894,2013,
"""Metals""",15,43758454616,2013,
"""Machines""",16,1.18E+11,2013,
"""Transportation""",17,15866793615,2013,
"""Instruments""",18,18346394206,2013,
"""Weapons""",19,314437953,2013,
"""Miscellaneous""",20,4116217158,2013,
"""Arts and Antiques""",21,147264524.4,2013,
"""Animal Products""",1,8779902520,2014,
"""Vegetable Products""",2,8853193729,2014,
"""Animal and Vegetable Bi-Products""",3,1149744063,2014,
"""Foodstuffs""",4,8869882266,2014,
"""Mineral Products""",5,1.82E+11,2014,
"""Chemical Products""",6,39695055030,2014,
"""Plastics and Rubbers""",7,13348936231,2014,
"""Animal Hides""",8,3590982018,2014,
"""Wood Products""",9,3175277240,2014,
"""Paper Goods""",10,3767594456,2014,
"""Textiles""",11,14438304077,2014,
"""Footwear and Headwear""",12,2621992459,2014,
"""Stone And Glass""",13,4588619389,2014,
"""Precious Metals""",14,3928757192,2014,
"""Metals""",15,46551474879,2014,
"""Machines""",16,1.21E+11,2014,
"""Transportation""",17,19404959485,2014,
"""Instruments""",18,19255278883,2014,
"""Weapons""",19,266304237.1,2014,
"""Miscellaneous""",20,4834019339,2014,
"""Arts and Antiques""",21,154879107,2014,
"""Animal Products""",1,8703331105,2015,
"""Vegetable Products""",2,8213403729,2015,
"""Animal and Vegetable Bi-Products""",3,1018145728,2015,
"""Foodstuffs""",4,8115328458,2015,
"""Mineral Products""",5,1.10E+11,2015,
"""Chemical Products""",6,35637024854,2015,
"""Plastics and Rubbers""",7,12278852102,2015,
"""Animal Hides""",8,3305938582,2015,
"""Wood Products""",9,2926132358,2015,
"""Paper Goods""",10,3683955249,2015,
"""Textiles""",11,14317853526,2015,
"""Footwear and Headwear""",12,2704224161,2015,
"""Stone And Glass""",13,4829432184,2015,
"""Precious Metals""",14,3663046956,2015,
"""Metals""",15,37912257322,2015,
"""Machines""",16,1.21E+11,2015,
"""Transportation""",17,21584147379,2015,
"""Instruments""",18,19328508256,2015,
"""Weapons""",19,274705041.3,2015,
"""Miscellaneous""",20,5072476905,2015,
"""Arts and Antiques""",21,215667245.4,2015,
"""Animal Products""",1,9098379798,2016,
"""Vegetable Products""",2,7866743163,2016,
"""Animal and Vegetable Bi-Products""",3,1104686677,2016,
"""Foodstuffs""",4,8884530125,2016,
"""Mineral Products""",5,87463669653,2016,
"""Chemical Products""",6,34635804002,2016,
"""Plastics and Rubbers""",7,12235755799,2016,
"""Animal Hides""",8,3073711240,2016,
"""Wood Products""",9,2930365200,2016,
"""Paper Goods""",10,3533149991,2016,
"""Textiles""",11,14206218326,2016,
"""Footwear and Headwear""",12,2788831680,2016,
"""Stone And Glass""",13,5083534033,2016,
"""Precious Metals""",14,3333197061,2016,
"""Metals""",15,34283682431,2016,
"""Machines""",16,1.16E+11,2016,
"""Transportation""",17,22368064808,2016,
"""Instruments""",18,18801927521,2016,
"""Weapons""",19,234381744.8,2016,
"""Miscellaneous""",20,5434255508,2016,
"""Arts and Antiques""",21,367232941.9,2016,
"""Animal Products""",1,9659508445,2017,
"""Vegetable Products""",2,8059765227,2017,
"""Animal and Vegetable Bi-Products""",3,1173778620,2017,
"""Foodstuffs""",4,9955116972,2017,
"""Mineral Products""",5,1.17E+11,2017,
"""Chemical Products""",6,40098727728,2017,
"""Plastics and Rubbers""",7,13595851767,2017,
"""Animal Hides""",8,3165689491,2017,
"""Wood Products""",9,3198181369,2017,
"""Paper Goods""",10,3919426117,2017,
"""Textiles""",11,14728577248,2017,
"""Footwear and Headwear""",12,3135147949,2017,
"""Stone And Glass""",13,5315040404,2017,
"""Precious Metals""",14,4212786886,2017,
"""Metals""",15,38751684072,2017,
"""Machines""",16,1.28E+11,2017,
"""Transportation""",17,20981638259,2017,
"""Instruments""",18,35637102025,2017,
"""Weapons""",19,484328425.2,2017,
"""Miscellaneous""",20,5710397507,2017,
"""Arts and Antiques""",21,348076180.9,2017,
"""Animal Products""",1,10881712054,2018,
"""Vegetable Products""",2,8467053270,2018,
"""Animal and Vegetable Bi-Products""",3,1212073089,2018,
"""Foodstuffs""",4,11015544785,2018,
"""Mineral Products""",5,1.52E+11,2018,
"""Chemical Products""",6,46218811614,2018,
"""Plastics and Rubbers""",7,14148738939,2018,
"""Animal Hides""",8,3444999076,2018,
"""Wood Products""",9,3678178051,2018,
"""Paper Goods""",10,4397045705,2018,
"""Textiles""",11,16344089160,2018,
"""Footwear and Headwear""",12,3550605510,2018,
"""Stone And Glass""",13,5603624586,2018,
"""Precious Metals""",14,3364432451,2018,
"""Metals""",15,40328695049,2018,
"""Machines""",16,1.31E+11,2018,
"""Transportation""",17,22186890673,2018,
"""Instruments""",18,35396926421,2018,
"""Weapons""",19,222208776.2,2018,
"""Miscellaneous""",20,6190796543,2018,
"""Arts and Antiques""",21,453140581.7,2018,
,,,,
"""Machines""",,39837,,China
"""Machines""",,18222,,Japan
"""Machines""",,13181,,America
"""Machines""",,12903,,TaiWan
"""Machines""",,5505,,German
"""Mineral Products""",,14890,,Saudi Arabia
"""Mineral Products""",,10608,,Australia
"""Mineral Products""",,9719,,Qatar?
"""Mineral Products""",,7222,,Kuwait
"""Mineral Products""",,6239,,Russia
"""Chemical Products""",,7662,,Japan
"""Chemical Products""",,6799,,China
"""Chemical Products""",,5842,,America
"""Chemical Products""",,2799,,German
"""Chemical Products""",,1028,,France
"""Metals""",,11862,,China
"""Metals""",,6778,,Japan
"""Metals""",,2072,,America
"""Metals""",,1410,,Chile?
"""Metals""",,1094,,Australia
