Section,Section ID,Trade Value,Year,Country
"""Instruments""",18,6235684690,2014,
"""Weapons""",19,8094723.077,2014,
"""Miscellaneous""",20,2973289206,2014,
"""Arts and Antiques""",21,120014472.7,2014,
"""Animal Products""",1,3066535809,2015,
"""Vegetable Products""",2,10337435057,2015,
"""Animal and Vegetable Bi-Products""",3,320230634.6,2015,
"""Foodstuffs""",4,17636384337,2015,
"""Mineral Products""",5,8867534527,2015,
"""Chemical Products""",6,10707668373,2015,
"""Plastics and Rubbers""",7,25047046691,2015,
"""Animal Hides""",8,1310966136,2015,
"""Wood Products""",9,2270967464,2015,
"""Paper Goods""",10,1906069486,2015,
"""Textiles""",11,7845052654,2015,
"""Footwear and Headwear""",12,933854581.1,2015,
"""Stone And Glass""",13,1907009508,2015,
"""Precious Metals""",14,10365458883,2015,
"""Metals""",15,9209096437,2015,
"""Machines""",16,81030739800,2015,
"""Transportation""",17,29054523460,2015,
"""Instruments""",18,6763815343,2015,
"""Weapons""",19,9889662,2015,
"""Miscellaneous""",20,2823930338,2015,
"""Arts and Antiques""",21,14475485.02,2015,
"""Animal Products""",1,3214822091,2016,
"""Vegetable Products""",2,9995823723,2016,
"""Animal and Vegetable Bi-Products""",3,323154018.4,2016,
"""Foodstuffs""",4,17290506221,2016,
"""Mineral Products""",5,6817722009,2016,
"""Chemical Products""",6,10332297367,2016,
"""Plastics and Rubbers""",7,24422864097,2016,
"""Animal Hides""",8,1293117228,2016,
"""Wood Products""",9,2509115246,2016,
"""Paper Goods""",10,1888124463,2016,
"""Textiles""",11,7532609346,2016,
"""Footwear and Headwear""",12,859478476.9,2016,
"""Stone And Glass""",13,1791622060,2016,
"""Precious Metals""",14,12217163780,2016,
"""Metals""",15,8956819537,2016,
"""Machines""",16,80292018362,2016,
"""Transportation""",17,31770122114,2016,
"""Instruments""",18,7204123460,2016,
"""Weapons""",19,18636193.38,2016,
"""Miscellaneous""",20,2835005560,2016,
"""Arts and Antiques""",21,14394611.03,2016,
"""Animal Products""",1,2335526191,2017,
"""Vegetable Products""",2,8287100936,2017,
"""Animal and Vegetable Bi-Products""",3,393674193.4,2017,
"""Foodstuffs""",4,14515943282,2017,
"""Mineral Products""",5,4934542515,2017,
"""Chemical Products""",6,9007259880,2017,
"""Plastics and Rubbers""",7,26032759272,2017,
"""Animal Hides""",8,1068975214,2017,
"""Wood Products""",9,2425851627,2017,
"""Paper Goods""",10,1329077274,2017,
"""Textiles""",11,5996087037,2017,
"""Footwear and Headwear""",12,769096550.5,2017,
"""Stone And Glass""",13,1433587865,2017,
"""Precious Metals""",14,7133016701,2017,
"""Metals""",15,8381147309,2017,
"""Machines""",16,84858338069,2017,
"""Transportation""",17,26395125383,2017,
"""Instruments""",18,7211987159,2017,
"""Weapons""",19,387241,2017,
"""Miscellaneous""",20,2591456293,2017,
"""Arts and Antiques""",21,12171286,2017,
"""Animal Products""",1,3460303800,2018,
"""Vegetable Products""",2,12837307942,2018,
"""Animal and Vegetable Bi-Products""",3,693255283.7,2018,
"""Foodstuffs""",4,20847565687,2018,
"""Mineral Products""",5,11262486872,2018,
"""Chemical Products""",6,14421016014,2018,
"""Plastics and Rubbers""",7,30997748162,2018,
"""Animal Hides""",8,1492052753,2018,
"""Wood Products""",9,2933526391,2018,
"""Paper Goods""",10,2334104118,2018,
"""Textiles""",11,8176750729,2018,
"""Footwear and Headwear""",12,928170764.2,2018,
"""Stone And Glass""",13,2139562927,2018,
"""Precious Metals""",14,11680507823,2018,
"""Metals""",15,11611693438,2018,
"""Machines""",16,97760391829,2018,
"""Transportation""",17,34362742030,2018,
"""Instruments""",18,8292716723,2018,
"""Weapons""",19,14804821.87,2018,
"""Miscellaneous""",20,2968714072,2018,
"""Arts and Antiques""",21,26005012.72,2018,
,,,,
,,,,
"""Machines""",,11586,,America
"""Machines""",,6762,,Japan
"""Machines""",,6689,,Hong Kong
"""Machines""",,5709,,China
"""Machines""",,3233,,Malaysia
"""Transportation""",,5264,,Australia
"""Transportation""",,2405,,Philippines?
"""Transportation""",,1785,,Japan
"""Transportation""",,1619,,Malaysia
"""Transportation""",,1587,,Indonesia
"""Plastics and Rubbers""",,6319,,China
"""Plastics and Rubbers""",,2794,,America
"""Plastics and Rubbers""",,2029,,Japan
"""Plastics and Rubbers""",,1390,,Malaysia
"""Plastics and Rubbers""",,1077,,Indonesia
"""Foodstuffs""",,2865,,Japan
"""Foodstuffs""",,2366,,America
"""Foodstuffs""",,1069,,Burma
"""Foodstuffs""",,892,,Indonesia
"""Foodstuffs""",,860,,Cambodia
