Section,Section ID,Trade Value,Year,Country
"""Animal Hides""",8,240275794.1,2012,
"""Wood Products""",9,91340076.99,2012,
"""Paper Goods""",10,2499655194,2012,
"""Textiles""",11,1015355959,2012,
"""Footwear and Headwear""",12,131594811.6,2012,
"""Stone And Glass""",13,347423154.9,2012,
"""Precious Metals""",14,8058010572,2012,
"""Metals""",15,7300808264,2012,
"""Machines""",16,72852572921,2012,
"""Transportation""",17,6527165422,2012,
"""Instruments""",18,11104748553,2012,
"""Weapons""",19,35100895.17,2012,
"""Miscellaneous""",20,493176227.6,2012,
"""Arts and Antiques""",21,57072083.99,2012,
"""Animal Products""",1,730355049.6,2013,
"""Vegetable Products""",2,704275597.5,2013,
"""Animal and Vegetable Bi-Products""",3,591453590.8,2013,
"""Foodstuffs""",4,6307043588,2013,
"""Mineral Products""",5,65114353662,2013,
"""Chemical Products""",6,40383779815,2013,
"""Plastics and Rubbers""",7,11999780950,2013,
"""Animal Hides""",8,232605520.7,2013,
"""Wood Products""",9,104037875.1,2013,
"""Paper Goods""",10,2354607347,2013,
"""Textiles""",11,1210473948,2013,
"""Footwear and Headwear""",12,169901556.5,2013,
"""Stone And Glass""",13,343155405.1,2013,
"""Precious Metals""",14,6713107357,2013,
"""Metals""",15,6924502969,2013,
"""Machines""",16,94119341594,2013,
"""Transportation""",17,8912897130,2013,
"""Instruments""",18,11294488202,2013,
"""Weapons""",19,26283751.75,2013,
"""Miscellaneous""",20,1569401709,2013,
"""Arts and Antiques""",21,83318910.7,2013,
"""Animal Products""",1,797389891.7,2014,
"""Vegetable Products""",2,771726718.9,2014,
"""Animal and Vegetable Bi-Products""",3,489382657.4,2014,
"""Foodstuffs""",4,6759067364,2014,
"""Mineral Products""",5,64750225453,2014,
"""Chemical Products""",6,36872838164,2014,
"""Plastics and Rubbers""",7,13680442079,2014,
"""Animal Hides""",8,228992752.8,2014,
"""Wood Products""",9,119148529.6,2014,
"""Paper Goods""",10,2364166404,2014,
"""Textiles""",11,1251909362,2014,
"""Footwear and Headwear""",12,168382563.7,2014,
"""Stone And Glass""",13,344791545.6,2014,
"""Precious Metals""",14,6937506448,2014,
"""Metals""",15,7861386860,2014,
"""Machines""",16,1.01309E+11,2014,
"""Transportation""",17,6817874045,2014,
"""Instruments""",18,12438487891,2014,
"""Weapons""",19,32131772.44,2014,
"""Miscellaneous""",20,583566743.7,2014,
"""Arts and Antiques""",21,75011925.82,2014,
"""Animal Products""",1,599640141.8,2015,
"""Vegetable Products""",2,574052156.7,2015,
