Section,Section ID,Trade Value,Year,Country
"""Plastics and Rubbers""",7,44131358331,2013,
"""Animal Hides""",8,402567093.2,2013,
"""Wood Products""",9,145733344.2,2013,
"""Paper Goods""",10,5254971412,2013,
"""Textiles""",11,9434106027,2013,
"""Footwear and Headwear""",12,227029108.8,2013,
"""Stone And Glass""",13,8285983545,2013,
"""Precious Metals""",14,11404435481,2013,
"""Metals""",15,73798302596,2013,
"""Machines""",16,2.80E+11,2013,
"""Transportation""",17,1.67E+11,2013,
"""Instruments""",18,50052659395,2013,
"""Weapons""",19,188804202.1,2013,
"""Miscellaneous""",20,5646230101,2013,
"""Arts and Antiques""",21,451002970.2,2013,
"""Animal Products""",1,1658807900,2014,
"""Vegetable Products""",2,693480803.3,2014,
"""Animal and Vegetable Bi-Products""",3,194770126.9,2014,
"""Foodstuffs""",4,2534358773,2014,
"""Mineral Products""",5,16927754642,2014,
"""Chemical Products""",6,62157528191,2014,
"""Plastics and Rubbers""",7,42375107320,2014,
"""Animal Hides""",8,415894844.7,2014,
"""Wood Products""",9,189634202.8,2014,
"""Paper Goods""",10,5380731646,2014,
"""Textiles""",11,9268861270,2014,
"""Footwear and Headwear""",12,228901051.5,2014,
"""Stone And Glass""",13,7994422324,2014,
"""Precious Metals""",14,9974640318,2014,
"""Metals""",15,72224529274,2014,
"""Machines""",16,2.78E+11,2014,
"""Transportation""",17,1.64E+11,2014,
"""Instruments""",18,50020827565,2014,
"""Weapons""",19,290806115.4,2014,
"""Miscellaneous""",20,5488174504,2014,
"""Arts and Antiques""",21,396589061,2014,
"""Animal Products""",1,1756478854,2015,
"""Vegetable Products""",2,768349891.3,2015,
"""Animal and Vegetable Bi-Products""",3,161198685.5,2015,
"""Foodstuffs""",4,2803232011,2015,
"""Mineral Products""",5,12830815945,2015,
"""Chemical Products""",6,53559335778,2015,
"""Plastics and Rubbers""",7,37023776698,2015,
"""Animal Hides""",8,362846526.5,2015,
"""Wood Products""",9,203684541.8,2015,
"""Paper Goods""",10,5548064836,2015,
"""Textiles""",11,8633820759,2015,
"""Footwear and Headwear""",12,207259632.5,2015,
"""Stone And Glass""",13,7003886840,2015,
"""Precious Metals""",14,11509973084,2015,
"""Metals""",15,61400119062,2015,
"""Machines""",16,2.50E+11,2015,
"""Transportation""",17,1.58E+11,2015,
"""Instruments""",18,45310333395,2015,
"""Weapons""",19,114403882.8,2015,
"""Miscellaneous""",20,4895008667,2015,
"""Arts and Antiques""",21,603221669.7,2015,
"""Animal Products""",1,1816995030,2016,
"""Vegetable Products""",2,874514164.4,2016,
"""Animal and Vegetable Bi-Products""",3,173281424.8,2016,
"""Foodstuffs""",4,3224241310,2016,
"""Mineral Products""",5,10350566959,2016,
"""Chemical Products""",6,54438904854,2016,
"""Plastics and Rubbers""",7,36901739254,2016,
"""Animal Hides""",8,391045220.4,2016,
"""Wood Products""",9,247720035.5,2016,
"""Paper Goods""",10,5600316750,2016,
"""Textiles""",11,8590459800,2016,
"""Footwear and Headwear""",12,255004469.3,2016,
"""Stone And Glass""",13,6613684091,2016,
"""Precious Metals""",14,17110962150,2016,
"""Metals""",15,54323879669,2016,
"""Machines""",16,2.55E+11,2016,
"""Transportation""",17,1.67E+11,2016,
"""Instruments""",18,44581216967,2016,
"""Weapons""",19,95405377.53,2016,
"""Miscellaneous""",20,5180516185,2016,
"""Arts and Antiques""",21,431864702,2016,
"""Animal Products""",1,1788040623,2017,
"""Vegetable Products""",2,932446665.7,2017,
"""Animal and Vegetable Bi-Products""",3,193318714.7,2017,
"""Foodstuffs""",4,3606342241,2017,
"""Mineral Products""",5,11852631158,2017,
"""Chemical Products""",6,57052551274,2017,
"""Plastics and Rubbers""",7,38586176353,2017,
"""Animal Hides""",8,357533628.4,2017,
"""Wood Products""",9,334654190,2017,
"""Paper Goods""",10,6062496515,2017,
"""Textiles""",11,8717106908,2017,
"""Footwear and Headwear""",12,284407599.1,2017,
"""Stone And Glass""",13,6655860971,2017,
"""Precious Metals""",14,19319725172,2017,
"""Metals""",15,58021491849,2017,
"""Machines""",16,2.56E+11,2017,
"""Transportation""",17,1.64E+11,2017,
"""Instruments""",18,56713976352,2017,
"""Weapons""",19,129836822.2,2017,
"""Miscellaneous""",20,6180183150,2017,
"""Arts and Antiques""",21,478415588,2017,
"""Animal Products""",1,1980972890,2018,
"""Vegetable Products""",2,1030685955,2018,
"""Animal and Vegetable Bi-Products""",3,259729295.7,2018,
"""Foodstuffs""",4,4420941458,2018,
"""Mineral Products""",5,13258494607,2018,
"""Chemical Products""",6,68806961250,2018,
"""Plastics and Rubbers""",7,41206565806,2018,
"""Animal Hides""",8,338796500.9,2018,
"""Wood Products""",9,383853507.4,2018,
"""Paper Goods""",10,6489705599,2018,
"""Textiles""",11,9106010798,2018,
"""Footwear and Headwear""",12,265750865.1,2018,
"""Stone And Glass""",13,7827021534,2018,
"""Precious Metals""",14,14659447562,2018,
"""Metals""",15,66867269857,2018,
"""Machines""",16,2.92E+11,2018,
"""Transportation""",17,1.77E+11,2018,
"""Instruments""",18,61294665549,2018,
"""Weapons""",19,208389128.9,2018,
"""Miscellaneous""",20,7235846175,2018,
"""Arts and Antiques""",21,626329252.3,2018,
,,,,
,,,,
"""Machines""",,46975,,China
"""Machines""",,42372,,America
"""Machines""",,16868,,TaiWan
"""Machines""",,16044,,Korea
"""Machines""",,13529,,Hong Kong
"""Transportation""",,54383,,America
"""Transportation""",,11440,,China
"""Transportation""",,6784,,Australia
"""Transportation""",,5385,,Panama
"""Transportation""",,4714,,The United Arab Emirates
"""Metals""",,10745,,China
"""Metals""",,5949,,Korea
"""Metals""",,5325,,Thailand
"""Metals""",,4548,,America
"""Metals""",,3397,,TaiWan
"""Chemical Products""",,11541,,China
"""Chemical Products""",,7602,,Korea
"""Chemical Products""",,6600,,America
"""Chemical Products""",,5839,,TaiWan
"""Chemical Products""",,1833,,Hong Kong
